Scheme Name,Net Asset Value
PGIM India Gilt Fund - Direct Plan - Quarterly Dividend,14.3519
PGIM India Gilt Fund - Growth,25.1671
PGIM India Gilt Fund - Half Yearly Bonus,12.6178
PGIM India Gilt Fund - Quarterly Dividend,13.8042
quant Gilt Fund - Growth Option - Direct Plan,10.0665
quant Gilt Fund - Growth Option - Regular Plan,10.0477
quant Gilt Fund - IDCW Option - Direct Plan,10.067
quant Gilt Fund - IDCW Option - Regular Plan,10.0478
SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 1 Yr) Option,N.A.
SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 2 Yrs) Option,N.A.
SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option,32.5457
SBI MAGNUM GILT FUND -  GROWTH - PF (Regular) Option,34.8333
SBI MAGNUM GILT FUND - DIRECT PLAN - GROWTH,56.8259
SBI Magnum Gilt Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),18.1362
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr),16.7630
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs),16.9639
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs),16.4479
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Regular),17.5307
SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH,54.2597
SBI Magnum Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),16.6847
Tata Gilt Retirement Plan (28/2/25) - Payout of IDCW Option,29.5225
Tata Gilt Retirement Plan- 28/2/25 Growth Option,29.5706
Tata Gilt Securities Fund - Direct Plan - Payout of IDCW Option,19.9492
Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option,17.9717
Tata Gilt Securities Fund -Regular Plan- Growth Option,64.8374
Tata Gilt Securities Fund- Direct Plan - Growth Option,70.8564
Union Gilt Fund - Direct Plan - Annual IDCW Option,10.2366
Union Gilt Fund - Direct Plan - Growth Option,10.2366
Union Gilt Fund - Direct Plan - Half-yearly IDCW Option,10.2366
Union Gilt Fund - Regular Plan - Annual IDCW Option,10.2040
Union Gilt Fund - Regular Plan - Growth Option,10.2040
Union Gilt Fund - Regular Plan - Half-yearly IDCW Option,10.2040
UTI - GILT FUND - Direct Plan - Growth Option,53.7516
UTI - GILT FUND - Discontinued PF Plan - Growth Option,38.8406
UTI - GILT FUND - Discontinued PF Plan Prescribed Date Auto Redemption Option,38.8622
UTI - GILT FUND - Regular Plan - Growth Option,52.2379
UTI - GILT FUND -Discontinued PF Plan -Dividend Option,21.378
UTI Gilt Fund - Direct Plan - IDCW,26.2295
UTI Gilt Fund - Regular Plan - IDCW,32.4031
DSP 10Y G-Sec Fund - Direct Plan - Growth,18.1138
DSP 10Y G-Sec Fund - Direct Plan - IDCW,10.5919
DSP 10Y G-Sec Fund - Direct Plan - IDCW - Monthly,10.4259
DSP 10Y G-Sec Fund - Direct Plan - IDCW - Quarterly,10.7534
DSP 10Y G-Sec Fund - Regular Plan - Growth,17.7654
DSP 10Y G-Sec Fund - Regular Plan - IDCW,10.4536
DSP 10Y G-Sec Fund - Regular Plan - IDCW - Monthly,10.5532
DSP 10Y G-Sec Fund - Regular Plan - IDCW - Quarterly ,10.7986
ICICI Prudential Constant Maturity Gilt Fund - Annual IDCW,10.4889
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Annual IDCW,10.6928
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth,20.3709
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Half Yearly IDCW,10.6790
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Monthly IDCW,11.3870
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Quarterly IDCW,11.0311
ICICI Prudential Constant Maturity Gilt Fund - Growth,19.9994
ICICI Prudential Constant Maturity Gilt Fund - Half Yearly IDCW,10.3816
ICICI Prudential Constant Maturity Gilt Fund - Monthly IDCW,11.1867
ICICI Prudential Constant Maturity Gilt Fund - quarterly IDCW,10.7895
IDFC Government Securities Fund - Constant Maturity Plan - Regular Plan - Quarterly IDCW,11.2830
IDFC Government Securities Fund - Constant Maturity Plan - Regular Plan - Growth,36.9976
IDFC Government Securities Fund - Constant Maturity Plan - Regular Plan - Weekly IDCW,10.1213
IDFC Government Securities Fund - Constant Maturity Plan - Regular Plan - Monthly IDCW,10.4043
IDFC Government Securities Fund - Constant Maturity Plan - Regular Plan - Periodic IDCW,13.2441
IDFC Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth,37.4315
IDFC Government Securities Fund - Constant Maturity Plan -Direct Plan-Monthly IDCW,10.4434
IDFC Government Securities Fund - Constant Maturity Plan -Direct Plan-Periodic IDCW,11.1505
IDFC Government Securities Fund - Constant Maturity Plan -Direct Plan-Quarterly IDCW,11.5665
IDFC Government Securities Fund - Constant Maturity Plan -Direct Plan-Weekly IDCW,17.8050
SBI MAGNUM CONSTANT MATURITY FUND - DIRECT PLAN - GROWTH,53.6219
SBI Magnum Constant Maturity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),17.4422
SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH,51.9638
SBI Magnum Constant Maturity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),16.9003
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Annual IDCW Option,10.3371
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Flexi IDCW Option,10.3373
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Growth Option,10.3372
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Quarterly IDCW Option,10.3372
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Annual IDCW Option,10.3075
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Flexi IDCW Option,10.3072
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Growth Option,10.3075
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Half Yearly IDCW Option,10.3073
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Quarterly IDCW Option,10.3075
Aditya Birla Sun Life Liquid Fund - Growth,357.3642
Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,360.5897
Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.195
Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,100.195
Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,195.7717
Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,100.2948
Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.023
Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.1418
Aditya Birla Sun Life Liquid Fund -Regular - IDCW,149.5307
Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.694
Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2955
Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,240.214
Aditya Birla Sun Life Liquid Fund-Institutional (Growth),595.1245
Aditya Birla Sun Life Liquid Fund-Retail (Growth),579.9264
Axis Liquid Fund - Direct plan - Bonus Option,2215.5705
Axis Liquid Fund - Direct Plan - Daily IDCW,1000.9560
Axis Liquid Fund - Direct Plan - Growth Option,2484.4090
Axis Liquid Fund - Direct Plan - Monthly IDCW,1000.8472
Axis Liquid Fund - Direct Plan - Weekly IDCW,1002.2512
Axis Liquid Fund - Regular Plan - Daily IDCW,1001.3998
Axis Liquid Fund - Regular Plan - Growth Option,2467.9376
Axis Liquid Fund - Regular Plan - Monthly IDCW,1001.4355
Axis Liquid Fund - Regular Plan - Weekly IDCW,1002.2491
Axis Liquid Fund - Retail Plan - Daily IDCW,1000.9559
Axis Liquid Fund - Retail Plan - Growth Option,2286.3807
Axis Liquid Fund - Retail Plan - Monthly IDCW,1000.8322
Axis Liquid Fund - Retail Plan - Weekly IDCW,1000.8266
BANK OF INDIA Liquid Fund  Unclaimed Dividend greater than  3 years,1000.0000
BANK OF INDIA Liquid Fund  Unclaimed Dividend Upto 3 years,1226.9964
BANK OF INDIA Liquid Fund  Unclaimed Redemption greater than  3 years,1000.0000
BANK OF INDIA Liquid Fund  Unclaimed Redemption Upto 3 years,1226.8682
BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW,1002.6483
BANK OF INDIA Liquid Fund- Direct Plan- Growth,2574.4286
BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW,1061.7037
BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW,1002.1069
BANK OF INDIA Liquid Fund- Regular Plan- Growth,2551.1914
BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW,1001.4552
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - DAILY IDCW OPTION,1002.0849
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,2578.5255
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - WEEKLY IDCW OPTION,1218.4861
Baroda BNP Paribas Liquid Fund - Plan C,1422.9738
Baroda BNP Paribas Liquid Fund - Regular - Weekly IDCW Option,0.0000
Baroda BNP Paribas LIQUID FUND - Regular Plan - DAILY IDCW OPTION,1001.1996
Baroda BNP Paribas LIQUID FUND - Regular Plan - GROWTH OPTION,2553.7684
Baroda BNP Paribas LIQUID FUND - Regular Plan - WEEKLY IDCW OPTION,1000.0853
BARODA BNP PARIBAS LIQUID FUND PLAN C IDCW ABOVE 3 YRS,1000
BARODA BNP PARIBAS LIQUID FUND PLAN C IDCW UPTO 3YRS,1391.4327
BARODA BNP PARIBAS LIQUID FUND PLAN C REDEMPTION ABOVE 3 YRS,1000
BARODA BNP PARIBAS LIQUID FUND PLAN C REDEMPTION UPTO 3YRS,1387.3652
Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,3758.7543
Baroda BNP Paribas LIQUID FUND-Defunct Plan- IDCW Option,3101.3751
Baroda BNP Paribas LIQUID FUND-Defunct Plan-Daily IDCW Option,1006.0602
CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1005.5000
CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,2679.2180
CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),1917.6145
CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),1000.9641
CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),1000.9643
CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1005.5000
CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION,2668.8534
CANARA ROBECO LIQUID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),1000.9528
CANARA ROBECO LIQUID FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),1000.9526
Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option,1459.5664
DSP Liquidity Fund - Direct Plan - Growth,3196.6960
DSP Liquidity Fund - Direct Plan - IDCW - Daily,1000.9329
DSP Liquidity Fund - Direct Plan - IDCW - Weekly,1001.7144
DSP Liquidity Fund - Regular Plan - Growth,3167.6722
DSP Liquidity Fund - Regular Plan - IDCW - Weekly,1001.7006
DSP Liquidity Fund- Regular Plan - IDCW - Daily,1000.9329
Edelweiss Liquid Fund - Direct Plan - Bonus Option,1679.4172
Edelweiss Liquid Fund - Direct Plan - Growth Option,2886.6659
Edelweiss Liquid Fund - Direct Plan - IDCW Option,2886.6808
Edelweiss Liquid Fund - Direct Plan Annual - IDCW Option,2886.657
Edelweiss Liquid Fund - Direct Plan daily - IDCW Option,1031.0535
Edelweiss Liquid Fund - Direct Plan Fortnightly - IDCW Option,2281.4564
Edelweiss Liquid Fund - Direct Plan Monthly - IDCW Option,1004.7545
Edelweiss Liquid Fund - Direct Plan weekly - IDCW Option,2172.8374
Edelweiss Liquid Fund - Regular Plan - Bonus Option,1654.5233
Edelweiss Liquid Fund - Regular Plan - Growth Option,2840.6101
Edelweiss Liquid Fund - Regular Plan - IDCW Option,2840.612
Edelweiss Liquid Fund - Regular Plan Annual - IDCW Option,1965.46
Edelweiss Liquid Fund - Regular Plan Daily - IDCW Option,1051.7954
Edelweiss Liquid Fund - Regular Plan Fortnightly - IDCW Option,2152.6803
Edelweiss Liquid Fund - Regular Plan Monthly - IDCW Option,1033.939
Edelweiss Liquid Fund - Regular Plan Weekly - IDCW Option,1066.0847
Edelweiss Liquid Fund - Retail Plan - Growth Option,2583.3376
Edelweiss Liquid Fund - Retail Plan - Weekly Dividend Option,1230.9637
Edelweiss Liquid Fund - Retail Plan Daily - IDCW Option,1051.5551
Edelweiss Liquid Fund - Retail Plan Monthly - IDCW Option,1243.9658
Franklin India Liquid Fund - Regular Plan - Daily - IDCW,1509.5582
Franklin India Liquid Fund - Regular Plan - Growth,5100.4111
Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,1244.6594
Franklin India Liquid Fund - Super Instittutional - Direct - Growth,3360.8526
Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,1000.0000
Franklin India Liquid Fund - Super Institutional Plan - Direct - Daily - IDCW,1001.7308
Franklin India Liquid Fund - Super Institutional Plan - Direct - Weekly - IDCW,1021.7273
Franklin India Liquid Fund - Super Institutional Plan - Growth,3338.6940
Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,1022.2980
Franklin India Liquid Fund - Unclaimed IDCW Investor Education Plan - Growth,10.0000
Franklin India Liquid Fund - Unclaimed IDCW Plan - Growth,14.1866
Franklin India Liquid Fund - Unclaimed Redemption Investor Education Plan - Growth,10.0000
Franklin India Liquid Fund - Unclaimed Redemption Plan - Growth,14.1866
Franklin India Liquid Fund - Institution-Growth,0.0000
Franklin India Liquid Fund - Institutional Plan - Daily - IDCW,1000.0000
Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW,1055.0413
HDFC Liquid Fund - Growth Option - Direct Plan,4394.5
HDFC Liquid Fund - Growth Plan,4355.9065
HDFC Liquid Fund - IDCW Daily,1019.82
HDFC Liquid Fund - IDCW Daily - Direct Plan,1019.82
HDFC Liquid Fund - IDCW Monthly,1026.4454
HDFC Liquid Fund - IDCW Monthly - Direct Plan,1026.4483
HDFC Liquid Fund - IDCW Plan Weekly,1031.1755
HDFC Liquid Fund - IDCW Weekly - Direct Plan,1031.1784
HDFC Liquid Fund-Premium Plan - Dividend-Weekly,10
HDFC Liquid Fund-Premium Plus Plan - Dividend-Weekly,10
HDFC Liquid Fund-PREMIUM PLUS- Growth,10.0000
HSBC Liquid Fund -  Growth Direct,2227.4722
HSBC Liquid Fund - Direct Daily IDCW,1000.9401
HSBC Liquid Fund - Direct Monthly IDCW,1038.0590
HSBC Liquid Fund - Direct Weekly IDCW,1195.1444
HSBC Liquid Fund - Growth,3191.5076
HSBC Liquid Fund - IDCW,1019.3000
HSBC Liquid Fund - Institutional Daily IDCW,1562.8262
HSBC Liquid Fund - Regular Daily IDCW,1001.3789
HSBC Liquid Fund - Regular Growth,2212.0175
HSBC Liquid Fund - Regular Monthly IDCW,1002.4659
HSBC Liquid Fund - Regular Weekly IDCW,1107.4561
HSBC Liquid Fund - Weekly IDCW,1000.4949
ICICI Prudential Liquid Fund -Quarterly IDCW,101.4288
ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,118.5152
ICICI Prudential Liquid Fund - Bonus,121.0704
ICICI Prudential Liquid Fund - Daily IDCW,100.1482
ICICI Prudential Liquid Fund - Direct Plan -  Annual IDCW,103.9850
ICICI Prudential Liquid Fund - Direct Plan -  Half Yearly IDCW,106.7325
ICICI Prudential Liquid Fund - Direct Plan -  IDCW Others,153.5152
ICICI Prudential Liquid Fund - Direct Plan - Daily IDCW,100.1082
ICICI Prudential Liquid Fund - Direct Plan - Growth,330.9954
ICICI Prudential Liquid Fund - Direct Plan - Monthly IDCW,100.4287
ICICI Prudential Liquid Fund - Direct Plan - Quarterly IDCW,102.2043
ICICI Prudential Liquid Fund - Direct Plan - Weekly IDCW,100.1983
ICICI Prudential Liquid Fund - Direct Plan Bonus,149.1904
ICICI Prudential Liquid Fund - Growth,328.5063
ICICI Prudential Liquid Fund - Half Yearly IDCW,105.6475
ICICI Prudential Liquid Fund - IDCW Others,152.6725
ICICI Prudential Liquid Fund - Institutional Option - I,275.6151
ICICI Prudential Liquid Fund - Unclaimed IDCW,137.2884
ICICI Prudential Liquid Fund - Unclaimed IDCW Investor Education,100.0000
ICICI Prudential Liquid Fund - Unclaimed Redemption,137.2884
ICICI Prudential Liquid Fund - Unclaimed Redemption Investor Education,100.0000
ICICI Prudential Liquid Fund - Weekly IDCW,100.1731
ICICI Prudential Liquid Fund -Monthly IDCW,100.3202
ICICI Prudential Liquid Fund-Annual IDCW,103.8506
ICICI Prudential Liquid Fund - Institutional - Daily - Div,118.5022
ICICI Prudential Liquid Fund - Institutional - Weekly - Div,118.6133
ICICI Prudential Liquid Fund Retail Daily Dividend,118.5142
ICICI Prudential Liquid Fund Retail Growth,450.7797
ICICI Prudential Liquid Fund Retail Monthly Dividend,100.5372
ICICI Prudential Liquid Fund Retail Weekly Dividend,118.9171
ICICI Prudential Liquid Institutional Fund - Growth,462.33
IDBI Liquid Fund Bonus Direct,1803.6668
IDBI Liquid Fund Bonus Regular,1523.1315
IDBI Liquid Fund Growth Direct,2406.8115
IDBI Liquid Fund- Monthly IDCW,1003.7935
IDBI Liquid Fund- Monthly IDCW Direct,1002.2352
IDBI Liquid Fund-Daily IDCW,1005.2683
IDBI Liquid Fund-Daily IDCW Direct,1002.3548
IDBI Liquid Fund-Growth,2386.4798
IDBI Liquid Fund-Weekly IDCW,1023.3156
IDBI Liquid Fund-Weekly IDCW Direct,1004.0451
IDFC Cash Fund - Inst Plan B - Periodic Div,0
IDFC Cash Fund - Regular Plan - Daily IDCW,1001.0846
IDFC Cash Fund - Regular Plan - Growth,2682.9360
IDFC Cash Fund - Regular Plan - Monthly IDCW,1000.4404
IDFC Cash Fund - Regular Plan - Periodic IDCW,1158.3362
IDFC Cash Fund - Regular Plan - Weekly IDCW,1001.7152
IDFC Cash Fund - Unclaimed IDCW Less than 3 years,1.4385
IDFC Cash Fund - Unclaimed IDCW More than 3 years,1.0000
IDFC Cash Fund - Unclaimed Redemption Less than 3 years,1.4385
IDFC Cash Fund - Unclaimed Redemption More than 3 years,1.0000
IDFC Cash Fund -Direct Plan -Monthly IDCW,1007.1606
IDFC Cash Fund -Direct Plan -Weekly IDCW,1007.6053
IDFC Cash Fund -Direct Plan-Daily IDCW ,1001.6663
IDFC Cash Fund -Direct Plan-Growth,2700.6802
IDFC Cash Fund -Direct Plan-Periodic IDCW,1088.0610
IIFL LIQUID FUND DIRECT PLAN  DAILY DIVIDEND REINVESTMENT,1000.0427
IIFL LIQUID FUND DIRECT PLAN  GROWTH,1722.4236
IIFL LIQUID FUND DIRECT PLAN  WEEKLY DIVIDEND,1005.0000
IIFL LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT,1000.0701
IIFL LIQUID FUND REGULAR PLAN  GROWTH,1714.4291
IIFL LIQUID FUND REGULAR PLAN  WEEKLY DIVIDEND,1005.0000
Indiabulls Liquid Fund - Direct Plan - Growth Option,2170.4896
Indiabulls Liquid Fund - Growth Option,2149.2958
Indiabulls Liquid Fund- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1001.06
Indiabulls Liquid Fund- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1000.7054
Indiabulls Liquid Fund- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1034.0434
Indiabulls Liquid Fund- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1000.6787
Indiabulls Liquid Fund- Regular Plan- - Income Distribution cum capital withdrawal Option (Reinvestment),1001.1451
Indiabulls Liquid Fund- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1000.6268
Indiabulls Liquid Fund- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1005.3454
Indiabulls Liquid Fund- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.7471
Invesco India Liquid Fund - Bonus Option,3053.0948
Invesco India Liquid Fund - Daily IDCW (Reinvestment),1002.7594
Invesco India Liquid Fund - Direct Plan - Growth,3070.4845
Invesco India Liquid Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1079.9512
Invesco India Liquid Fund - Direct Plan - Weekly IDCW (Reinvestment),1055.3377
Invesco India Liquid Fund - Direct Plan- Daily IDCW (Reinvestment),1000.9596
Invesco India Liquid Fund - Growth,3049.1611
Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment),1003.1058
Invesco India Liquid Fund - Regular - Growth,2733.7197
Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment),1002.1847
Invesco India Liquid Fund - Unclaimed Dividend Plan - Above 3 Years,1000
Invesco India Liquid Fund - Unclaimed Dividend Plan - Below 3 Years,1455.1884
Invesco India Liquid Fund - Unclaimed Redemption Plan - Above 3 Years,1000
Invesco India Liquid Fund - Unclaimed Redemption Plan - Below 3 years,1455.0955
Invesco India Liquid Fund - Weekly IDCW (Reinvestment),1008.193
ITI Liquid Fund - Direct Plan - Annually IDCW Option,1171.4642
ITI Liquid Fund - Direct Plan - Daily IDCW Option,1001.0000
ITI Liquid Fund - Direct Plan - Fortnightly IDCW Option,1001.1646
ITI Liquid Fund - Direct Plan - Growth Option,1170.6229
ITI Liquid Fund - Direct Plan - Monthly IDCW Option,1001.0000
ITI Liquid Fund - Direct Plan - Weekly IDCW Option,1001.0000
ITI Liquid Fund - Regular Plan - Annually IDCW Option,1167.4401
ITI Liquid Fund - Regular Plan - Daily IDCW Option,1001.0000
ITI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum capital withdrawal option Option,1001.0000
ITI Liquid Fund - Regular Plan - Growth Option,1165.0550
ITI Liquid Fund - Regular Plan - Monthly IDCW Option,1001.0000
ITI Liquid Fund - Regular Plan - Weekly IDCW Option,1001.0000
JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units,19.6722
JM Liquid Fund (Direct) - Daily IDCW,10.4302
JM Liquid Fund (Direct) - Growth Option,61.1607
JM Liquid Fund (Direct) - Quarterly IDCW,34.7233
JM Liquid Fund (Direct) - Weekly IDCW,11.0060
JM Liquid Fund (Regular) - Quarterly IDCW,34.3310
JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,34.8680
JM Liquid Fund (Regular) - Weekly IDCW,11.0035
JM Liquid Fund - Growth Option,60.6546
JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan,41.4437
JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan,41.4437
JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan,41.4437
JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan,57.8229
JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan,41.4437
JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan,57.8230
JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan,41.4437
JM Liquid Fund (Regular) - Bonus Option - Principal Units,19.4218
JM Liquid Fund (Regular) - Daily IDCW,10.4302
Kotak Liquid - Daily Reinvestment of Income Distribution cum capital withdrawal option - Direct,1222.81
Kotak Liquid - Growth - Direct,4518.4279
Kotak Liquid Regular Plan Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81
Kotak Liquid Regular Plan Growth,4488.126
Kotak Liquid Regular Plan Weekly Reinvestment of Income Distribution cum capital withdrawal option Dividend,1000.476
Kotak Liquid-Institutional Plan  (Growth),3046.6062
Kotak Liquid-Institutional Plan (Weekly Dividend),1011.079
Kotak Liquid-Regular (Dividend),1002.9403
Kotak Liquid-Regular (Growth),2893.5255
LIC MF Liquid Fund-Direct Plan-Daily IDCW,1013.6
LIC MF Liquid Fund-Direct Plan-Growth,4061.313
LIC MF Liquid Fund-Regular Plan-Daily IDCW,1000.1
LIC MF Liquid Fund-Regular Plan-Growth,4013.5631
Mahindra Manulife Liquid Fund - Direct Plan - Daily IDCW,1024.4552
Mahindra Manulife Liquid Fund - Direct Plan - Weekly IDCW,1003.8939
Mahindra Manulife Liquid Fund - Direct Plan -Growth,1455.1768
Mahindra Manulife Liquid Fund - Regular Plan - Daily IDCW,1000.3445
Mahindra Manulife Liquid Fund - Regular Plan - Growth,1443.4769
Mahindra Manulife Liquid Fund - Regular Plan - Weekly IDCW,1010.3096
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Beyond 3 years,1000.0000
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Upto three years,1218.6343
Mirae Asset Cash Management Fund - Direct Plan - Growth,2361.2313
Mirae Asset Cash Management Fund - Growth,2326.7977
Mirae Asset Cash Management Fund Direct  Daily IDCW,1075.8332
Mirae Asset Cash Management Fund Direct Monthly IDCW,1135.4287
Mirae Asset Cash Management Fund Direct Weekly IDCW,1217.4277
Mirae Asset Cash Management Fund Regular Monthly IDCW,1153.0762
Mirae Asset Cash Management Fund Regular Weekly IDCW,1153.6877
Mirae Asset Cash Management Fund RegularDaily IDCW ,1066.4347
Motilal Oswal Liquid Fund - Direct Growth,11.9256
Motilal Oswal Liquid Fund - Regular Growth,11.8506
Motilal Oswal Liquid Fund - Unclaimed Dividend - Greater than 3 years,10.0000
Motilal Oswal Liquid Fund - Unclaimed Dividend- Upto 3 years,11.5885
Motilal Oswal Liquid Fund - Unclaimed Redemption - Upto 3 years,11.3753
Motilal Oswal Liquid Fund Direct - IDCW  Quarterly Payout/Reinvestment,10.0993
Motilal Oswal Liquid Fund Direct - IDCW Fortnightly Reinvestment,10.0107
Motilal Oswal Liquid Fund Direct - IDCW Monthly Payout/Reinvestment,10.0363
Motilal Oswal Liquid Fund Direct - IDCW Reinvestment,10.0077
Motilal Oswal Liquid Fund Direct - IDCW Weekly Reinvestment,10.0121
Motilal Oswal Liquid Fund Regular - IDCW Daily Reinvestment,10.0055
Motilal Oswal Liquid Fund Regular - IDCW Fortnightly Reinvestment,10.0103
Motilal Oswal Liquid Fund Regular - IDCW Monthly Payout/Reinvestment,10.0361
Motilal Oswal Liquid Fund Regular - IDCW Quarterly Payout/Reinvestment,10.0972
Motilal Oswal Liquid Fund Regular - IDCW Weekly Reinvestment,10.0191
Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,10.0129
Navi Liquid Fund - Direct Plan Monthly IDCW - Payout,10.0191
Navi Liquid Fund - Direct Plan Weekly IDCW - Payout,10.0058
Navi Liquid Fund - Regular Plan Daily IDCW,10.0129
Navi Liquid Fund - Regular Plan Monthly IDCW,10.0191
Navi Liquid Fund - Regular Plan Weekly IDCW,10.0062
Navi Liquid Fund-Direct Plan-Growth Option,24.5106
Navi Liquid Fund-Regular Plan-Growth Option,24.3182
Navi Liquid Fund-Unclaimed Redemption and Dividend Plan greater than 3 years,10
Navi Liquid Fund-Unclaimed Redemption and Dividend Plan less than 3 years,24.3558
NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,1528.7400
NIPPON INDIA LIQUID FUND - DIRECT Plan - DAILY IDCW OPTION,1528.7400
NIPPON INDIA LIQUID FUND - DIRECT Plan - MONTHLY IDCW OPTION,1587.3437
