Scheme Name,Net Asset Value
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305
IDFC-IDFC Banking & PSU Debt Fund - Direct Annual IDCW,12.3276
IDFC-IDFC Banking & PSU Debt Fund - Direct Daily IDCW,10.4722
IDFC-IDFC Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4591
IDFC-IDFC Banking & PSU Debt Fund - Direct Growth,21.1305
IDFC-IDFC Banking & PSU Debt Fund - Direct IDCW,11.1157
IDFC-IDFC Banking & PSU Debt Fund - Direct Monthly IDCW,10.4285
IDFC-IDFC Banking & PSU Debt Fund - Direct Quarterly IDCW,10.7374
IDFC-IDFC Banking & PSU Debt Fund - Regular Annual IDCW,11.3171
IDFC-IDFC Banking & PSU Debt Fund - Regular Daily IDCW,10.8734
IDFC-IDFC Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6139
IDFC-IDFC Banking & PSU Debt Fund - Regular Growth,20.6768
IDFC-IDFC Banking & PSU Debt Fund - Regular IDCW,11.1654
IDFC-IDFC Banking & PSU Debt Fund - Regular Monthly IDCW,10.6726
IDFC-IDFC Banking & PSU Debt Fund - Regular Quarterly IDCW,10.6456
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),1009.5309
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,2011.5593
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),1030.3016
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1009.8517
Invesco India Banking & PSU Debt Fund - Growth Option,1893.704
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),1029.078
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,11.1673
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,11.1673
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,11.0239
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,11.0239
Kotak Banking and PSU Debt - Annual Dividend,16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604
Kotak Banking and PSU Debt - Growth,54.5913
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,10.4477
Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427
Kotak Banking and PSU Debt Direct - Growth,56.348
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2633
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,12.5609
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,31.0438
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,11.6915
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,10.0467
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,10.8148
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,29.1282
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,10.9016
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,10.0415
Mirae Asset Banking and PSU Debt Fund Direct Growth,11.0229
Mirae Asset Banking and PSU Debt Fund Direct IDCW,11.0229
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,10.8968
Mirae Asset Banking and PSU Debt Fund Regular IDCW,10.8976
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,17.8310
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,17.8306
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,17.3426
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,17.8306
